번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,
2,건물위생관리업,09_30_04_P,3780000,3800000-206-2026-00004,2026-03-27,,01,영업/정상,01,영업,,,,,031 7594877,0.00,462-839,경기도 성남시 중원구 하대원동 161-6 2층 일부호,"경기도 성남시 중원구 둔촌대로268번길 22, 2층 일부호 (하대원동)",13406,범빌드코리아,2026-03-27 16:59:11,I,2026-03-29 00:20:01,건물위생관리업,213095.241391051,436120.589096347,건물위생관리업,0,0,0,0,0,0,,,,,0,0,N,
4,건물위생관리업,09_30_04_P,3170000,3170000-206-2026-00001,2026-03-26,,01,영업/정상,01,영업,,,,,0234674545,36.50,153-801,서울특별시 금천구 가산동 60-9 아스크타워 327호,"서울특별시 금천구 디지털로10길 37, 아스크타워 327호 (가산동)",08514,(주)와이엠피엠,2026-03-27 09:19:28,I,2026-03-29 00:20:01,건물위생관리업,190182.08312142,441619.084699584,건물위생관리업,0,0,0,0,0,0,,,,,10,10,N,
8,건물위생관리업,09_30_04_P,4191000,4191000-206-2026-00015,2026-03-27,,01,영업/정상,01,영업,,,,,,29.70,,강원특별자치도 원주시 일산동 347-37,"강원특별자치도 원주시 남산로 77, 3층 350호 (일산동)",26434,토탈공조시스템,2026-03-27 13:33:01,I,2026-03-29 00:20:01,건물위생관리업,283479.220844719,427407.780185461,건물위생관리업,3,1,3,3,0,0,,,,임대,0,0,N,
11,건물위생관리업,09_30_04_P,4201000,4201000-206-2005-00004,2005-11-04,,01,영업/정상,01,영업,,,,,033 6428866,68.00,,강원특별자치도 강릉시 홍제동 989-7,강원특별자치도 강릉시 하슬라로30번길 3 (홍제동),25518,(주)보광씨앤지,2026-03-27 17:55:13,U,2026-03-29 02:40:00,건물위생관리업,365481.689340919,474197.127720155,건물위생관리업,1,0,0,1,0,0,,,,임대,0,0,N,
13,건물위생관리업,09_30_04_P,3210000,3210000-206-2003-00034,2003-09-25,,01,영업/정상,01,영업,,,,,02 34766534,80.00,137-802,서울특별시 서초구 반포동 45-2 지하1층,"서울특별시 서초구 서초중앙로29길 16, 지하1층 (반포동)",06593,주식회사 재인지엔에스,2026-03-27 11:07:57,U,2026-03-29 02:40:00,건물위생관리업,200876.614022686,444083.798695981,건물위생관리업,0,0,2,2,0,0,,,,임대,137,11,N,
14,건물위생관리업,09_30_04_P,3100000,3100000-206-2021-00008,2021-12-08,,03,폐업,02,폐업,2026-03-27,,,,,35.00,139-739,서울특별시 노원구 공릉동 742 효성아파트,"서울특별시 노원구 화랑로 556, 효성아파트 상가동동 2층 202호 (공릉동, 효성아파트)",01804,가람솔,2026-03-27 15:36:30,U,2026-03-29 02:40:00,건물위생관리업,207749.307579592,457640.840194694,건물위생관리업,0,0,2,0,0,0,,,,임대,1,0,N,
18,건물위생관리업,09_30_04_P,4090000,4090000-206-2025-00004,2025-02-21,,03,폐업,02,폐업,2026-03-27,,,,07088420371,198.00,415-861,경기도 김포시 통진읍 가현리 498,"경기도 김포시 통진읍 율마로223번길 115, 나동",10038,주식회사 유니온에이치앤엘,2026-03-27 16:38:36,U,2026-03-29 02:40:00,건물위생관리업,164444.55731111,463204.405205506,건물위생관리업,0,0,0,0,0,0,,,,임대,0,0,N,
19,건물위생관리업,09_30_04_P,3210000,3210000-206-2023-00014,2023-11-03,,01,영업/정상,01,영업,,,,,02 5842430,70.00,137-882,서울특별시 서초구 서초동 1685-8 G5센트럴프라자,"서울특별시 서초구 서초중앙로24길 27, G5센트럴프라자 505호 (서초동)",06601,(주)파인스태프,2026-03-27 09:57:51,U,2026-03-29 02:40:00,건물위생관리업,201386.338220173,443689.075119969,건물위생관리업,0,0,0,0,0,0,,,,,0,2,N,
20,건물위생관리업,09_30_04_P,3990000,3990000-206-2024-00035,2024-11-29,,03,폐업,02,폐업,2026-03-26,,,,,35.00,472-811,경기도 남양주시 별내면 청학리 427 1층 일부(지상1층 주계단 좌측),"경기도 남양주시 별내면 청학로중앙길 80, 1층 일부",12087,하비919,2026-03-26 14:18:56,U,2026-03-29 02:40:00,건물위생관리업,209694.737635437,467518.938542478,건물위생관리업,0,0,0,0,0,0,,,,,0,0,N,
21,건물위생관리업,09_30_04_P,3070000,3070000-206-2024-00008,2024-11-18,,01,영업/정상,01,영업,,,,,02  921 1201,59.20,136-035,서울특별시 성북구 동소문동5가 15 성신여대역솔하임 506호,"서울특별시 성북구 보문로40길 11, 506호 (동소문동5가, 성신여대역솔하임)",02846,주식회사 꿈터,2026-03-27 11:21:18,U,2026-03-29 02:40:00,건물위생관리업,201169.222981659,454397.181151468,건물위생관리업,0,0,0,0,0,0,,,,,0,0,N,
